Nombre,Comestibilidad,Caracteristicas
Cantharellus cibarius,comestible,"Rebozuelo o chantarela. Sombrero amarillo-naranja, 3-12 cm, margen ondulado, pliegues dicotómicos (no láminas). Aroma afrutado. Excelente comestible muy apreciado en gastronomía europea. Bajo frondosas y coníferas."
Cantharellus cinnabarinus,comestible,"Rebozuelo cinabrio. Totalmente rojo-naranja brillante, sombrero 2-5 cm. Pliegues ramificados del mismo color. Comestible de calidad moderada. Habita bajo frondosas del este de Norteamérica en verano. Muy llamativo."
Cerioporus squamosus,comestible,"Seta escamosa o lengua de buey. Sombrero en abanico crema con escamas marrones concéntricas, 10-50 cm. Poros grandes, pie excéntrico. Comestible solo muy joven y tierno; coriáceo con la edad. Sobre frondosas."
Cetraria islandica,no comestible,"Liquen islandés. Talo foliáceo-fruticuloso marrón-verdoso, 3-10 cm. Usado medicinalmente (bronquitis, digestivo). Comestible como alimento de supervivencia tras hervido prolongado. No seta, es liquen. Tóxico en crudo."
Chlorociboria aeruginascens,no comestible,"Copa verde-azulada minúscula, 1-5 mm. Tiñe la madera que coloniza de un verde-azul característico ('oak mosaic' en marquetería renacentista). Demasiado pequeña para consumo. Sin toxicidad conocida. Muy llamativa."
Chlorophyllum brunneum,no comestible,"Falsa parasol de jardín. Sombrero marrón con escamas, 8-20 cm, láminas verdes al madurar. Causa síntomas gastrointestinales severos. Confundible con Macrolepiota procera. Común en jardines y zonas urbanas."
Chlorophyllum molybdites,venenosa,"Seta verde-espora. Sombrero blanco con escamas marrones, 8-25 cm. Láminas que verdean con la madurez (característica diagnóstica). La intoxicación gastrointestinal más común en Norteamérica. Confundible con parasoles comestibles."
Chondrostereum purpureum,no comestible,"Corticiáceo violáceo. Fructificaciones en repisa o extendidas, superficie fértil violácea-lila, 2-8 cm. Parásito que causa la enfermedad del plomo en árboles frutales. No comestible. Sin toxicidad para humanos."
Cladonia fimbriata,no comestible,"Liquen fruticoide gris-verdoso con podeciones en forma de copa, 1-3 cm. Crece sobre suelos ácidos, tocones y musgos. No es seta, es liquen. Sin valor culinario ni toxicidad relevante para humanos."
Cladonia rangiferina,no comestible,"Musgo de reno o liquen de los renos. Liquen fruticoide gris-blanquecino muy ramificado, 5-12 cm. Alimento fundamental de renos y caribúes. No es seta. Usado en decoración. Sin toxicidad para humanos."
Cladonia stellaris,no comestible,"Liquen fruticoide gris-verdoso muy ramificado con aspecto globoso, 5-15 cm. Similar a C. rangiferina. Muy abundante en tundra y boreales. No es seta, es liquen. Usado como material de decoración floral."
Clitocybe nebularis,no comestible,"Seta nublada o nebulosa. Sombrero gris, 8-20 cm, higrófana, con olor fuerte harinoso-desagradable. Contiene nebularina (antibiótico tóxico). Causa intoxicaciones gastrointestinales. Antes considerada comestible. Evitar."
Clitocybe nuda,comestible,"Pie azul o seta violeta (= Lepista nuda). Sombrero lila-violáceo, 6-15 cm, que palidece con la edad. Láminas violáceas. Buen comestible tras cocción completa. Olor perfumado. Crece en hojarasca de bosques y jardines."
Coltricia perennis,no comestible,"Políporo zonado perenne. Sombrero en embudo concéntrico marrón-canela, 3-8 cm, con pie central. Superficie inferior con poros finos. Coriáceo, no comestible. Saprófito en suelos arenosos bajo coníferas."
Coprinellus disseminatus,no comestible,"Coprino diseminado. Sombrerillos grises acampanados de 0.5-1.5 cm en colonias de cientos sobre madera. Láminas que ennegrecen sin licuarse. Demasiado pequeño y frágil para consumo. Sin toxicidad significativa."
Coprinellus micaceus,no comestible,"Coprino micáceo. Sombrero ocráceo con brillos micáceos, 2-4 cm, en grupos densos. Láminas que se licuan (autólisis) al madurar. Teóricamente comestible muy joven pero sin valor culinario real. Sin toxicidad si se evita el alcohol."
Coprinopsis atramentaria,no comestible,"Coprino de tinta. Sombrero gris 4-8 cm, láminas que se licuan en tinta. Contiene coprina: provoca síndrome antabús grave si se combina con alcohol (hasta 72h después). No recomendada. Confundible con Coprinus comatus."
Coprinopsis lagopus,no comestible,"Coprino pata de liebre. Sombrero blanco-grisáceo con fibrillas, 1-3 cm, efímero (dura horas). Solitario sobre estiércol y tierra rica. Demasiado pequeño y efímero para consumo. Sin toxicidad conocida."
Coprinus comatus,comestible,"Seta de la tinta o coprino melenudo. Sombrero cilíndrico blanco con escamas, 5-15 cm. Comestible excelente solo muy joven, antes de que las láminas empiecen a ennegrecerse. Rápida autólisis. Muy sabrosa."
Crucibulum laeve,no comestible,"Nido de pájaro liso. Cuerpo fructífero en forma de cubilete marrón-amarillento, 6-10 mm, con peridiolos (huevecillos) grises. Dispersión de esporas por salpicadura de lluvia. Demasiado pequeño para consumo."
Cryptoporus volvatus,no comestible,"Políporo criptoporo. Fructificación globosa beige-marrón, 3-8 cm, con una pequeña abertura oculta bajo un velo. Sobre coníferas muertas. No comestible por textura coriácea. Aloja colonias de insectos."
Daedaleopsis confragosa,no comestible,"Políporo de poros laberínticos rosados. Sombrero en repisa marrón-grisáceo, 5-15 cm, poros que se alargan en láminas irregulares. Se enrojece al roce. Coriáceo, no comestible. Sobre sauces y abedules."
Daedaleopsis tricolor,no comestible,"Políporo tricolor. Sombrero en repisa con zonas concéntricas marrón-rojizo-grisáceo, 3-10 cm. Poros laberínticos. Coriáceo y leñoso, sin valor culinario. Saprófito sobre frondosas. Europa y Asia."
Entoloma abortivum,comestible,"Entoloma abortado. Produce dos formas: la normal (sombrero gris 4-10 cm, tóxica) y la forma abortada por Armillaria (masa blanca irregular, comestible). Solo la forma abortada es comestible. Este de Norteamérica."
Evernia mesomorpha,no comestible,"Liquen fruticoide verdoso-amarillento, ramificado, 3-8 cm. Crece sobre corteza de coníferas en bosques boreales. No es seta, es liquen. Usado en perfumería como fijador (musgo de roble). Sin toxicidad para humanos."
Evernia prunastri,no comestible,"Musgo de roble. Liquen foliáceo-fruticuloso gris-verdoso, 3-8 cm. Usado ampliamente en perfumería como fijador. No es seta, es liquen. Puede causar dermatitis de contacto. Sin toxicidad oral significativa."
Flammulina velutipes,comestible,"Enokitake o seta de terciopelo. Sombrero marrón-miel viscoso, 2-8 cm, pie aterciopelado oscuro. Crece en invierno sobre madera. Muy cultivada en Asia (forma blanca). Buen comestible, sabor suave. Antioxidante."
Fomes fomentarius,no comestible,"Yesca o pie de caballo. Fructificación en pezuña gris-marrón, 10-40 cm, muy dura. Usada históricamente para encender fuego (yesca) y como hemostático. No comestible. Parásito de hayas y abedules."
Fomitopsis betulina,no comestible,"Políporo del abedul (= Piptoporus betulinus). Sombrero globoso-reniforme crema-marrón, 10-30 cm. Parásito del abedul. Usado como yesca, antimicrobiano y antiparasitario. Llevado por Ötzi el hombre del hielo. No comestible."
Fomitopsis mounceae,no comestible,"Políporo rosado norteamericano (antes parte de F. pinicola). Fructificación en repisa con borde rosado-anaranjado, 10-30 cm. Parásito de coníferas norteamericanas. Coriáceo, no comestible. Causa podredumbre cúbica."
Fomitopsis pinicola,no comestible,"Políporo rojo de borde. Fructificación en repisa con borde anaranjado-rojizo vivo, 10-40 cm. Parásito y saprófito de coníferas. Muy duro y coriáceo, no comestible. Causa podredumbre parda cúbica. Muy común."
Galerina marginata,venenosa,"Sombrero amarillo-marrón, 1-4 cm, con anillo frágil. Crece en grupos sobre madera en descomposición. Contiene amatoxinas igual que Amanita phalloides. La intoxicación más común por confusión con Kuehneromyces mutabilis. MORTAL."
Ganoderma applanatum,no comestible,"Oreja de oso o yesca plana. Fructificación en repisa marrón-grisácea, 20-60 cm, poros blancos que ennegrecen al roce. Muy dura y leñosa, no comestible. Usada en medicina tradicional. Parásito de frondosas."
Ganoderma curtisii,no comestible,"Reishi norteamericano de pie. Sombrero lacado rojo-caoba brillante, 5-20 cm, con pie lateral. Muy usado en medicina tradicional asiática (adaptógeno). No comestible por textura leñosa. Sobre frondosas del este de EE.UU."
Ganoderma oregonense,no comestible,"Reishi gigante del noroeste. Fructificación lacada rojo-caoba, 20-60 cm. La especie de Ganoderma más grande de Norteamérica. Muy dura, no comestible. Parásito de coníferas. Usada en medicina complementaria."
Ganoderma tsugae,no comestible,"Reishi de la cicuta. Sombrero lacado rojo brillante con borde blanco, 5-30 cm. Crece exclusivamente sobre cicuta (Tsuga). No comestible por textura leñosa. Ampliamente usada en fitoterapia. Noreste de EE.UU."
Gliophorus psittacinus,no comestible,"Hygrophorus papagayo. Sombrero viscoso de colores variables (verde, amarillo, rosa, naranja), 2-4 cm. Una de las setas más coloridas. No comestible por textura viscosa y tamaño. Sin toxicidad conocida. En praderas."
Gloeophyllum sepiarium,no comestible,"Políporo de las vallas. Fructificación en repisa marrón-oxidado con láminas irregulares, 5-15 cm. Causa podredumbre parda de madera de conífera. Muy resistente. Coriáceo, no comestible. Común en madera tratada y vallas."
Graphis scripta,no comestible,"Liquen crustáceo con apotecios alargados en la corteza como escritura antigua, 5-20 cm extensión. Crece sobre corteza lisa de frondosas. No es seta, es liquen. Sin valor culinario ni toxicidad conocida."
Grifola frondosa,comestible,"Maitake o seta bailarina. Múltiples sombreros grises superpuestos formando una masa de 20-60 cm. Excelente comestible con propiedades medicinales estudiadas (inmunomodulador, antitumoral). Bajo robles. Muy valorado."
Gymnopilus luteofolius,no comestible,"Sombrero amarillo-naranja con escamas rojizas, 4-10 cm, láminas amarillas. Contiene psilocibina y otros compuestos psicoactivos. No comestible, psicoactiva. Sabor muy amargo. Crece en grupos sobre madera."
Gyromitra esculenta,venenosa,"Falsa colmenilla. Sombrero cerebriforme marrón oscuro, 5-15 cm. Contiene giromitrina que se convierte en monometilhidrazina (tóxico). Peligrosa incluso tras cocción. Varios casos mortales documentados. EVITAR."
Gyromitra gigas,no comestible,"Falsa colmenilla gigante. Sombrero cerebriforme blanquecino-amarillento, 10-25 cm, el más grande del género. Contiene niveles bajos de giromitrina. Considerada comestible en algunas regiones tras tratamiento, pero riesgo real. Evitar."
Gyromitra infula,venenosa,"Mitra de obispo. Sombrero en forma de silla de montar marrón-rojizo, 5-12 cm. Contiene giromitrina. Tóxica en crudo y potencialmente peligrosa incluso cocida. Confundible con Helvella. No consumir."
Hericium coralloides,comestible,"Hericium coraliforme. Masa blanca con espinas colgantes ramificada en coral, 10-30 cm. Excelente comestible de sabor suave a marisco. Sobre madera de frondosas muertas. Especie protegida en varios países europeos."
Hericium erinaceus,comestible,"Melena de león o cabeza de mono. Masa globosa blanca con espinas colgantes largas, 10-30 cm. Excelente comestible con propiedades neuroprotectoras estudiadas. Sobre heridas de frondosas. Muy cultivada en Asia."
Hygrophoropsis aurantiaca,no comestible,"Falso rebozuelo. Sombrero naranja brillante, 3-8 cm, con láminas densas y forked de verdadero naranja. Causa trastornos gastrointestinales y neurológicos leves. Confundible con Cantharellus cibarius. No comestible."
Hypholoma fasciculare,venenosa,"Hifoloma sulfureo o seta en racimo amarilla. Sombrero amarillo-azufre con centro pardo, 2-7 cm, en densos racimos sobre madera. Muy amarga. Contiene fasciculol (tóxico nervioso). Causa intoxicaciones graves. Muy común."
Hypholoma lateritium,comestible,"Hifoloma ladrillo. Sombrero rojo-ladrillo, 4-8 cm, en racimos sobre tocones. A diferencia de H. fasciculare, es comestible (sin amargor). Requiere cocción. Confundible con el tóxico H. fasciculare. Solo para expertos."
Hypogymnia physodes,no comestible,"Liquen foliáceo inflado gris-verdoso con lóbulos huecos, 3-8 cm. Muy sensible a la contaminación atmosférica (bioindicador). No es seta, es liquen. Usado en investigación ambiental. Sin toxicidad conocida."
Hypomyces lactifluorum,comestible,"Langosta de mar. Parásito anaranjado-rojo brillante que recubre y deforma setas del género Russula y Lactarius. La seta hospedadora queda encapsulada. Excelente comestible, sabor a marisco. Muy valorado en Norteamérica."
Imleria badia,comestible,"Boleto bayo. Sombrero marrón-castaño, 5-12 cm. Tubos que azulean débilmente al corte. Comestible de buena calidad, menos apreciado que B. edulis. Muy común bajo coníferas. Acumula cesio radiactivo en zonas contaminadas."
Inonotus obliquus,no comestible,"Chaga. Masa estéril negra y rugosa (esclerocio) sobre abedules, 10-40 cm. El cuerpo fructífero verdadero es raro. No comestible pero ampliamente usado en medicina tradicional rusa y asiática. Antioxidante potente."
Ischnoderma resinosum,no comestible,"Políporo resinoso. Sombrero en repisa marrón oscuro con borde blanco, exuda gotas resinosas, 10-30 cm. Olor anisado agradable. Coriáceo, no comestible en adulto; teóricamente comestible muy joven. Sobre frondosas."
Kuehneromyces mutabilis,comestible,"Seta de pie de palo o buen enoki. Sombrero miel bicolor (más oscuro en el centro húmedo), 3-8 cm, pie escamoso con anillo. Buen comestible en racimos sobre madera. PELIGROSA confusión con Galerina marginata (mortal)."
Laccaria ochropurpurea,comestible,"Laccaria púrpura. Sombrero marrón-violáceo, 5-15 cm, láminas violáceas gruesas bien espaciadas. Comestible de calidad moderada. Habita bajo frondosas del este de Norteamérica. La especie más grande del género."
Lactarius deliciosus,comestible,"Níscalo o rovellón. Sombrero naranja con zonas verdosas, látex color zanahoria, 5-15 cm. Láminas y pie naranjas. Excelente comestible muy apreciado en España. A la plancha o con arroz. Simbionte de pinos."
Lactarius torminosus,venenosa,"Lactario lanudo. Sombrero rosa-salmón con margen velloso enrollado, 5-12 cm. Látex blanco muy acre. Causa cólicos intensos (torminosus = que provoca cólicos). Tóxica en crudo; solo comestible tras salazón prolongada en países nórdicos."
Lactarius turpis,no comestible,"Lactario oscuro o repugnante. Sombrero verde oliva-negruzco viscoso, 6-20 cm. Látex blanco acre. Muy amargo. Contiene compuestos mutagénicos. No recomendado aunque es consumido en Finlandia tras hervido y salazón."
Laetiporus sulphureus,comestible,"Pollo de bosque o lengua de buey azufrada. Masa de sombreros superpuestos naranja-azufre brillante, 20-60 cm. Excelente comestible solo muy joven y tierno. Con la edad se vuelve amargo y coriáceo. Sobre frondosas."
Leccinum albostipitatum,comestible,"Boleto de pie blanco. Sombrero naranja-rojizo, 6-15 cm, pie blanco con escamas blancas que ennegrecen. Carne azulea y ennegrece al corte. Comestible bien cocido. Simbionte de álamos temblones. Norteamérica."
Leccinum aurantiacum,comestible,"Boleto de pie rojo. Sombrero naranja-rojo, 6-18 cm, pie con escamas rojizas. Carne ennegrece espectacularmente al corte. Comestible bien cocido. Algunos casos de intolerancia. Simbionte de álamos y chopos."
Leccinum scabrum,comestible,"Boleto áspero o boleto del abedul. Sombrero marrón grisáceo, 5-15 cm, pie con escamas negras. Carne no cambia de color. Comestible de calidad media, algo blando. Simbionte exclusivo de abedules. Muy común."
Leccinum versipelle,comestible,"Boleto de pie escamoso anaranjado. Sombrero naranja brillante, 8-20 cm, pie con escamas grises-negras. Carne azulea violácea al corte. Comestible bien cocido. Simbionte de abedules y álamos. Norte de Europa."
Lepista nuda,comestible,"Pie azul o seta violeta. Sombrero lila-violáceo 6-15 cm, que palidece con edad. Láminas violáceas, olor perfumado. Buen comestible tras cocción. Crece en anillos de hadas en hojarasca de bosques y jardines. Muy común en otoño."
Leratiomyces ceres,no comestible,"Sombrero rojo-escarlata brillante con escamas blanquecinas, 2-6 cm. Láminas blanquecinas. Crece sobre astillas de madera y mantillo de jardín. Puede causar trastornos gastrointestinales. No recomendada. Introducida en muchos países."
Leucoagaricus americanus,no comestible,"Sombrero blanco-rojizo con escamas rosadas, 6-15 cm, enrojece al roce. Láminas blancas libres. Causa trastornos gastrointestinales en algunas personas. No recomendada para consumo. Crece en zonas urbanas y jardines."
Leucoagaricus leucothites,no comestible,"Sombrero blanco liso, 5-10 cm, láminas blancas libres, anillo presente. Muy confundible con Agaricus campestris (comestible) o con Amanita phalloides joven. No recomendada; algunas personas sufren intoxicación gastrointestinal."
Lobaria pulmonaria,no comestible,"Liquen pulmonaria. Talo foliáceo verde (húmedo) o marrón (seco) con textura similar a un pulmón, 10-30 cm. Indicador de bosques maduros no contaminados. No es seta, es liquen. Usado medicinalmente. Protegido en Europa."
Lycogala epidendrum,no comestible,"Lobo rosa o baba de lobo. Mixomiceto (no es hongo verdadero) que forma esporangios globosos rosados-grises de 0.5-1.5 cm sobre madera. La masa interna rosada madura a polvillo marrón. Sin valor culinario."
Lycoperdon perlatum,comestible,"Bejín verrugoso o pedo de lobo común. Esferocárpico blanco con espinas que dejan cicatriz reticulada, 3-6 cm. Comestible joven cuando la gleba es blanca y firme. Sabor suave. El más común de los bejines. Muy cosmopolita."
Lycoperdon pyriforme,comestible,"Bejín en forma de pera. Fructificaciones piriformes marrón-blanquecinas en densos grupos sobre madera, 2-5 cm. Comestible joven cuando la gleba es blanca. Único bejín que crece directamente sobre madera. Muy común."
Macrolepiota procera,comestible,"Parasol o galamperna. Sombrero 15-30 cm con escamas pardas sobre fondo blanco, pie con anillo doble móvil y moteado. Excelente comestible (sombrero). No confundir con Lepiota brunneoincarnata (tóxica mortal) ni con Chlorophyllum."
Merulius tremellosus,no comestible,"Corticiáceo gelatinoso-ondulado. Fructificaciones en repisa naranja-rosada gelatinosa con pliegues irregulares, 3-15 cm. Saprófito sobre madera de frondosas. No comestible por textura gelatinosa y sabor. Sin toxicidad conocida."
Mutinus ravenelii,no comestible,"Falo de Ravenel. Hongo fálico rojo-rosado, 8-15 cm, con gleba olivácea maloliente en el ápice para atraer insectos. Sale de un huevo blanco. No comestible (excepto el huevo antes de expandirse, teóricamente). Olor fétido."
Mycena haematopus,no comestible,"Mycena sangre. Sombrero campanulado marrón-grisáceo, 1-3 cm, pie que exuda látex rojo sangre al romperse. En grupos sobre madera de frondosas. Sin toxicidad significativa pero demasiado pequeña y frágil para consumo."
Mycena leaiana,no comestible,"Mycena naranja de Lea. Sombrero naranja brillante viscoso, 1-3 cm, láminas con filo anaranjado-rojizo. En grupos densos y llamativos sobre madera de frondosas. Demasiado pequeña para consumo. Sin toxicidad conocida."
Nectria cinnabarina,no comestible,"Hongo coral cinabrio. Esporodoquios y peritecios rojo-naranja esféricos de 0.5-2 mm en grupos sobre madera muerta. Parásito y saprófito de frondosas. Demasiado pequeño para consumo. Sin toxicidad significativa."
Omphalotus illudens,venenosa,"Jack-o-lantern del este. Sombrero naranja, 8-20 cm, en grandes grupos al pie de robles. Bioluminiscente (brilla en la oscuridad). Contiene illudina (tóxico). Causa intoxicación gastrointestinal grave. Confundible con rebozuelos."
Omphalotus olivascens,venenosa,"Jack-o-lantern californiano. Sombrero naranja-oliváceo, 8-20 cm, láminas que bioluminiscen. Contiene illudina. Causa vómitos y diarrea severos. Crece en grupos al pie de frondosas. Confundible con Cantharellus californicus."
Panaeolus papilionaceus,no comestible,"Sombrero campanulado gris con margen festoneado de restos de velo, 2-4 cm. Sobre estiércol y pastos abonados. Puede contener pequeñas cantidades de psilocibina según la localidad. No comestible, efectos impredecibles."
Panellus stipticus,no comestible,"Panelo astringente. Sombrero pequeño reniforme crema-ocre, 1-3 cm, sobre madera de frondosas. Bioluminiscente (una de las pocas setas que brillan en la oscuridad). Muy amargo y astringente. No comestible."
Parmelia sulcata,no comestible,"Liquen foliáceo gris-verdoso con red de crestas en la superficie superior, 5-15 cm. Muy común sobre corteza y rocas. No es seta, es liquen. Bioindicador de calidad del aire. Sin toxicidad conocida para humanos."
Paxillus involutus,venenosa,"Paxilo enrollado o negrilla. Sombrero marrón con margen enrollado, 6-20 cm. Láminas que ennegrecen al roce. Provoca anemia hemolítica autoinmune acumulativa (puede ser mortal tras consumo repetido). PELIGROSO. No consumir."
Peltigera aphthosa,no comestible,"Liquen foliáceo verde (húmedo) con cefalodios oscuros en la superficie superior, 5-20 cm. Crece sobre suelos húmedos y musgos. No es seta, es liquen. Fija nitrógeno atmosférico. Sin toxicidad conocida."
Peltigera praetextata,no comestible,"Liquen foliáceo marrón-grisáceo con rizinas en la cara inferior, 5-20 cm. Crece sobre suelos, musgos y base de árboles. No es seta, es liquen. Ecológicamente importante como fijador de nitrógeno. Sin toxicidad."
Phaeolus schweinitzii,no comestible,"Políporo de la base del pino. Masa multilobulada amarillo-verdosa a marrón oxidado, 20-60 cm. Parásito grave de coníferas (podredumbre cúbica de la raíz). No comestible, muy amargo. Puede matar árboles maduros."
Phaeophyscia orbicularis,no comestible,"Liquen foliáceo gris-marrón muy pequeño (1-3 cm) con soredios en los márgenes. Crece sobre corteza, rocas y superficies artificiales en zonas urbanas. No es seta, es liquen. Tolerante a la contaminación."
Phallus impudicus,no comestible,"Falo hediondo o falo impúdico. Sale de huevo blanco (comestible en ese estado); el esporoforo fálico de 10-20 cm produce una gleba verde-olivácea fétida que atrae moscas. El huevo es comestible. Olor desagradable intenso."
Phellinus igniarius,no comestible,"Yesca del sauce. Fructificación en pezuña gris-negra muy dura, 10-30 cm. Parásito grave de frondosas, especialmente sauces y manzanos (pudrición blanca del corazón). No comestible. Usado como yesca e incienso."
Phellinus tremulae,no comestible,"Yesca del álamo. Fructificación en pezuña o repisa gris oscura, 5-20 cm. Parásito casi exclusivo del álamo temblón (Populus tremula). Causa podredumbre blanca del corazón. No comestible. Importante en ecología forestal."
Phlebia radiata,no comestible,"Corticiáceo radiado. Fructificación extendida sobre madera con pliegues y verrugas rosadas-naranjas que irradian desde el centro, 5-20 cm. Saprófito de frondosas. No comestible. Sin toxicidad conocida."
Phlebia tremellosa,no comestible,"Corticiáceo gelatinoso. Fructificaciones en repisa o extendidas, gelatinosas, blanco-rosadas con superficie irregular, 3-15 cm. Saprófito de frondosas muertas. No comestible por textura. Sin toxicidad conocida."
Pholiota aurivella,no comestible,"Foliota dorada. Sombrero dorado-anaranjado viscoso con escamas leonadas, 6-15 cm, en grupos sobre frondosas. Causa trastornos gastrointestinales. Antes consumida en Europa del Este, ahora desaconsejada. Olor desagradable."
Pholiota squarrosa,no comestible,"Foliota escamosa. Sombrero amarillo-ocre cubierto de escamas erectas puntiagudas secas, 4-12 cm, en grupos densos sobre frondosas. Muy amarga. Causa intoxicación gastrointestinal. No comestible. Olor desagradable a ajo rancio."
